rtTime,R Thigh Angle,rsTime,R Shank Angle,ltTime,L Thigh Angle,lsTime,L Shank Angle,hTime,Hip Angle,Activity
0.10299999999999976,97.69322967529295,-1.4469999999999992,118.6247787475586,-1.4469999999999992,71.66502380371094,-1.4469999999999992,50.64857482910156,-1.4469999999999992,57.98178863525391,Unknown
0.11300000000000487,97.64250946044922,-1.4370000000000012,121.26705169677734,-1.4369999999999994,72.29318237304688,-1.4370000000000012,50.634891510009766,-1.4370000000000012,58.08106231689453,Unknown
0.12299999999999933,97.58554077148438,-1.4269999999999996,123.78545379638672,-1.4269999999999996,72.91437530517578,-1.4269999999999996,50.998043060302734,-1.4269999999999996,58.135780334472656,Unknown
0.13300000000000445,97.53787231445312,-1.4170000000000016,126.15306854248048,-1.4169999999999998,73.54263305664062,-1.416999999999998,51.653717041015625,-1.416999999999998,58.18590545654297,Unknown
0.14300000000000068,97.51266479492188,-1.407,128.2764892578125,-1.407,74.1628189086914,-1.407,52.55792999267578,-1.407,58.25342178344727,Unknown
0.15300000000000225,97.4931411743164,-1.3969999999999985,130.14273071289062,-1.3970000000000002,74.83025360107422,-1.3969999999999985,53.70642852783203,-1.3969999999999985,58.33934020996094,Unknown
0.16300000000000026,97.49497985839844,-1.3870000000000005,131.72605895996094,-1.3870000000000005,75.52220916748047,-1.3870000000000005,55.14933776855469,-1.3870000000000005,58.43074798583984,Unknown
0.17300000000000182,97.49789428710938,-1.376999999999999,133.118896484375,-1.3770000000000007,76.2948989868164,-1.376999999999999,56.8143424987793,-1.376999999999999,58.51519012451172,Unknown
0.18299999999999983,97.50728607177734,-1.3670000000000009,134.29104614257812,-1.366999999999999,77.09693908691406,-1.3670000000000009,58.70767974853516,-1.3670000000000009,58.61080551147461,Unknown
0.19299999999999962,97.51727294921876,-1.3569999999999993,135.30519104003906,-1.3569999999999993,77.94477081298828,-1.3569999999999993,60.758079528808594,-1.3569999999999993,58.73932266235352,Unknown
0.20300000000000473,97.52854919433594,-1.3470000000000013,136.1299591064453,-1.3469999999999995,78.78607940673828,-1.3469999999999978,62.9866828918457,-1.3469999999999978,58.90391159057617,Unknown
0.21300000000000097,97.55391693115234,-1.3369999999999997,136.6861572265625,-1.3369999999999997,79.54570007324219,-1.3369999999999997,65.30142974853516,-1.3369999999999997,59.086700439453125,Unknown
0.22300000000000253,97.58768463134766,-1.3269999999999982,136.891845703125,-1.327,80.25184631347656,-1.3269999999999982,67.67754364013672,-1.3269999999999982,59.27838134765625,Unknown
0.23300000000000054,97.63745880126952,-1.3170000000000002,136.69383239746094,-1.3170000000000002,80.92786407470703,-1.3170000000000002,70.08522033691406,-1.3170000000000002,59.49256896972656,Unknown
0.2430000000000021,97.70237731933594,-1.3069999999999986,136.11761474609375,-1.3070000000000004,81.56230926513672,-1.3069999999999986,72.43146514892578,-1.3069999999999986,59.76114654541016,Unknown
0.2530000000000001,97.78338623046876,-1.2970000000000006,135.18589782714844,-1.2970000000000006,82.17337799072266,-1.2970000000000006,74.6533203125,-1.2970000000000006,60.06480407714844,Unknown
0.2630000000000017,97.88786315917967,-1.286999999999999,134.05926513671875,-1.286999999999999,82.77691650390625,-1.286999999999999,76.71915435791016,-1.286999999999999,60.350223541259766,Unknown
0.27300000000000324,97.99925231933594,-1.277000000000001,132.695556640625,-1.2769999999999992,83.3997573852539,-1.277000000000001,78.59290313720703,-1.277000000000001,60.62002944946289,Unknown
0.2829999999999995,98.10396575927734,-1.2669999999999995,131.10128784179688,-1.2669999999999995,84.0284423828125,-1.2669999999999995,80.19098663330078,-1.2669999999999995,60.91244888305664,Unknown
0.2930000000000046,98.20928192138672,-1.2570000000000014,129.28292846679688,-1.2569999999999997,84.63720703125,-1.256999999999998,81.34222412109375,-1.256999999999998,61.26622772216797,Unknown
