Time,Rectus Femoris,Vastus Medialis,Vastus Lateralis,Bicep Femoris,Tibialis,Gastrocnemius Medialis,Activity
0.0,3.393718908285535e-05,8.83080783092742e-06,2.002233317552608e-05,7.024703777453985e-06,1.6539564898215894e-05,4.144353834623823e-06,Unknown
0.0005192310000001754,3.392842610036895e-05,8.80900519983189e-06,2.0057381466708e-05,7.14803042074072e-06,1.6383820728720868e-05,4.156049746862707e-06,Unknown
0.0010384620000003508,3.3888105937722304e-05,8.789886889498341e-06,2.008334813811499e-05,7.236641754735699e-06,1.6341495400451745e-05,4.167693144909259e-06,Unknown
0.0015576920000004435,3.384188985440045e-05,8.755141595511036e-06,2.010351822383722e-05,7.274285800046662e-06,1.6341347365319622e-05,4.176476929382177e-06,Unknown
0.002076923000000619,3.3806729232313384e-05,8.696468144086421e-06,2.0112855229419845e-05,7.266542909144974e-06,1.6300749287262654e-05,4.183860451195019e-06,Unknown
0.0025961540000007943,3.373285387689174e-05,8.626083285469059e-06,2.0104690149246304e-05,7.26603430018871e-06,1.617340622692921e-05,4.184904235071174e-06,Unknown
0.0031153850000000816,3.3614511357116183e-05,8.59027184705541e-06,2.008349614196712e-05,7.279026769628564e-06,1.5849825436271943e-05,4.168220643005781e-06,Unknown
0.0036346150000001742,3.35576555216401e-05,8.614786128348156e-06,2.006132365125697e-05,7.276019932912488e-06,1.5161829752302868e-05,4.140068100449606e-06,Unknown
0.00415384600000035,3.3560842284806115e-05,8.658810349006832e-06,2.0043129132385927e-05,7.272210233198053e-06,1.4109521695366431e-05,4.120785030366617e-06,Unknown
0.004673077000000525,3.354879796683697e-05,8.685104837625445e-06,2.0026474394783e-05,7.27403394124883e-06,1.2914961885262244e-05,4.125204713966677e-06,Unknown
0.0051923080000007005,3.350435718699375e-05,8.700730437109553e-06,2.0010305027309515e-05,7.263764639741132e-06,1.177467011936925e-05,4.148017019131568e-06,Unknown
0.005711538000000793,3.3444680448078505e-05,8.71991110690479e-06,2.000105677358474e-05,7.252720199266207e-06,1.0775118899829004e-05,4.166644175704946e-06,Unknown
0.00623076900000008,3.347612161452852e-05,8.743368202396548e-06,2.0009078312612032e-05,7.25099863407443e-06,1.0021798766990728e-05,4.172601720167517e-06,Unknown
0.006750000000000256,3.364460177873546e-05,8.747566653792302e-06,2.0035128391868498e-05,7.251223547811248e-06,9.66784431321817e-06,4.1642627397413534e-06,Unknown
0.007269231000000431,3.381124370928413e-05,8.721746527675887e-06,2.00724536492735e-05,7.251288700267225e-06,9.656859926571328e-06,4.137695653441758e-06,Unknown
0.007788462000000607,3.389742443675668e-05,8.69491410635981e-06,2.012696760162759e-05,7.250111174187104e-06,9.67632005830432e-06,4.1043826252689465e-06,Unknown
0.0083076920000007,3.394843788437023e-05,8.682571357731952e-06,2.02226797241775e-05,7.2540758004687455e-06,9.613982391615496e-06,4.077668287642766e-06,Unknown
0.008826922999999987,3.400364110014767e-05,8.671952144705802e-06,2.038205513425163e-05,7.267769783881438e-06,9.579064706275964e-06,4.059296081909379e-06,Unknown
0.009346154000000162,3.407735803118391e-05,8.649928379515392e-06,2.0591745802093917e-05,7.2788120246863805e-06,9.578138038949468e-06,4.046419294638584e-06,Unknown
0.009865385000000337,3.41263419543793e-05,8.59829032703016e-06,2.07928114240657e-05,7.282849275742922e-06,9.57950913688749e-06,4.039494116278484e-06,Unknown
0.01038461500000043,3.4107042086713255e-05,8.517304828335486e-06,2.093230717639916e-05,7.286253420349642e-06,9.589059301500025e-06,4.038357943485312e-06,Unknown
0.010903846000000605,3.4066975667737407e-05,8.44907925857669e-06,2.1008111145949228e-05,7.285342392531784e-06,9.594211514971304e-06,4.038450917108311e-06,Unknown
0.01142307700000078,3.4048638019447275e-05,8.418231811432335e-06,2.1048546996138592e-05,7.278137434354411e-06,9.613933138656444e-06,4.039089913513804e-06,Unknown
0.011942308000000068,3.402856642410845e-05,8.407765057579255e-06,2.107844346637882e-05,7.271541571277482e-06,9.639763630739163e-06,4.0356645561246095e-06,Unknown
