Time,Rectus Femoris,Vastus Medialis,Vastus Lateralis,Bicep Femoris,Tibialis,Gastrocnemius Medialis,Trimmed Time
4.897384615,3.3172193648074146e-05,4.816573870370047e-06,4.728727954524554e-06,9.186830318535678e-06,8.01634779970004e-05,7.655847360168757e-06,0.00025961499999915816
4.897903846,3.311143601903208e-05,4.81707090780439e-06,4.72863796667599e-06,9.189028577574344e-06,8.028166856221472e-05,7.664253530170885e-06,0.0007788459999993336
4.898423077,3.311153059664107e-05,4.818331643642036e-06,4.733682101159023e-06,9.19476859863194e-06,8.04635700339823e-05,7.658657589147975e-06,0.001298076999999509
4.898942308,3.308043635344125e-05,4.817413308925733e-06,4.740769014651861e-06,9.197259343586098e-06,8.067582328226027e-05,7.660861321292295e-06,0.0018173079999987962
4.899461538,3.3019608025546805e-05,4.810464444752912e-06,4.73826224492628e-06,9.193299316607878e-06,8.065882586896306e-05,7.642190120954364e-06,0.002336537999998889
4.899980769,3.287161926577229e-05,4.79895420838681e-06,4.7171570636484055e-06,9.183123905922755e-06,8.044960347364993e-05,7.621776087742848e-06,0.0028557689999990643
4.9005,3.279027562034589e-05,4.792851203084164e-06,4.68963813364143e-06,9.16553019601314e-06,8.03218160943737e-05,7.63222728273867e-06,0.0033749999999992397
4.901019231,3.281681663027894e-05,4.7995590744695165e-06,4.667423267742712e-06,9.148551831536744e-06,8.025089771729967e-05,7.64533111606303e-06,0.003894230999999415
4.901538462,3.261063314995982e-05,4.80827287616005e-06,4.649219136126821e-06,9.144261650242536e-06,8.00800967609772e-05,7.643107423625431e-06,0.0044134619999995905
4.902057692,3.2237483281603914e-05,4.803502071558325e-06,4.634869936380851e-06,9.14552200876624e-06,7.970613493198092e-05,7.613965970249162e-06,0.004932691999998795
4.902576923,3.208859448888206e-05,4.792357806479432e-06,4.629151641467642e-06,9.144763825871313e-06,7.926871549182024e-05,7.550703608635907e-06,0.0054519229999989705
4.903096154,3.209203585401717e-05,4.790030171193212e-06,4.628125810256942e-06,9.1443095351023e-06,7.920845019456186e-05,7.502276861721312e-06,0.005971153999999146
4.903615385,3.2020743803838855e-05,4.793725598796898e-06,4.624646962036424e-06,9.14417937999801e-06,7.948264869702437e-05,7.488342844877256e-06,0.006490384999999321
4.904134615,3.1727836836634415e-05,4.798656848495784e-06,4.616066599276108e-06,9.147238387553105e-06,7.964741055755543e-05,7.477959711213255e-06,0.007009614999999414
4.904653846,3.1108058996713555e-05,4.80796342918636e-06,4.6032028206388965e-06,9.150145356393575e-06,7.965145898006462e-05,7.450186412047878e-06,0.007528845999999589
4.905173077,3.0444272092308467e-05,4.8145737721936594e-06,4.590731225607889e-06,9.148807422886197e-06,7.959399668719956e-05,7.382512027751753e-06,0.008048076999998877
4.905692308,3.0089288507098545e-05,4.80988419015072e-06,4.58107526774376e-06,9.149220327225257e-06,7.959410588508286e-05,7.290648509323114e-06,0.008567307999999052
4.906211538,2.996563401277082e-05,4.800573922163353e-06,4.570687575247688e-06,9.148970508870604e-06,7.97777126178015e-05,7.232053908705835e-06,0.009086537999999145
4.906730769,2.989879715161583e-05,4.797296924522127e-06,4.550378222761825e-06,9.145681818134823e-06,7.986197801866364e-05,7.21169971591436e-06,0.00960576899999932
4.90725,2.986725946874845e-05,4.797552040684582e-06,4.508371355645223e-06,9.14585603737213e-06,7.965599266423805e-05,7.202461087208527e-06,0.010124999999999496
