Time,Rectus Femoris,Vastus Medialis,Vastus Lateralis,Bicep Femoris,Tibialis,Gastrocnemius Medialis,Activity
1.7763568394002505e-15,2.104247526950929e-05,2.261821938289136e-05,2.2151902071672607e-05,1.4099348590741032e-05,0.0001492009940565,1.0528109047299523e-06,Unknown
0.0005192300000000927,2.1103715612966905e-05,2.2318814656090832e-05,2.246503418985672e-05,1.409187661193612e-05,0.000149085744181,1.0482520100475992e-06,Unknown
0.0010384600000001853,2.112284955038293e-05,2.2060986764797435e-05,2.3053190118659494e-05,1.4094627343667368e-05,0.0001489726583115,1.0459041040073894e-06,Unknown
0.001557690000000278,2.1129874325731817e-05,2.185740520953995e-05,2.3713607734401145e-05,1.4137046399598716e-05,0.0001486924414449,1.0448970823023587e-06,Unknown
0.0020769200000003707,2.113448734260109e-05,2.1670508156531445e-05,2.422520992390593e-05,1.424241432560219e-05,0.0001479817455022,1.044457504439402e-06,Unknown
0.0025961500000004634,2.1138757291723243e-05,2.1463971253572303e-05,2.457153482511544e-05,1.4416285859783982e-05,0.0001466720164227,1.0440190935553826e-06,Unknown
0.003115380000000556,2.114038001101084e-05,2.123780813935496e-05,2.485542852704269e-05,1.4647536244394266e-05,0.0001447905216329,1.0429307294585048e-06,Unknown
0.003634620000001476,2.113729153942613e-05,2.1011876299831874e-05,2.517103508039572e-05,1.49210773426821e-05,0.0001426234183565,1.0406701098218792e-06,Unknown
0.004153850000001569,2.1131427133772445e-05,2.0802650083906115e-05,2.5557038803708123e-05,1.5213407367507938e-05,0.000140913282293,1.0372471127087923e-06,Unknown
0.0046730800000016615,2.1123918301643224e-05,2.0623179574642224e-05,2.599383323129834e-05,1.5493260098565836e-05,0.0001404112144419,1.0330322908850668e-06,Unknown
0.005192310000001754,2.11179601421642e-05,2.0500530367436625e-05,2.644087365410468e-05,1.5757730698482903e-05,0.0001403132944363,1.0282993733974024e-06,Unknown
0.0057115400000000704,2.1122497103261517e-05,2.048882393251762e-05,2.685545820184528e-05,1.6039396344232357e-05,0.0001383279337585,1.02304615709749e-06,Unknown
0.006230770000000163,2.113761550248677e-05,2.06472922948202e-05,2.717645249348678e-05,1.6360463054646286e-05,0.000134119033703,1.0170816706631116e-06,Unknown
0.006750000000000256,2.1154590379213728e-05,2.0975784700801524e-05,2.7353344738796043e-05,1.6699453404095526e-05,0.0001303335765587,1.0102350173137458e-06,Unknown
0.0072692300000003485,2.11706007038812e-05,2.1388521789850096e-05,2.7417584985912072e-05,1.7008885303392356e-05,0.0001284846663867,1.0026228683833818e-06,Unknown
0.007788460000000441,2.118848569474494e-05,2.1777973232954264e-05,2.7454258104251112e-05,1.726263758154921e-05,0.000127652071569,9.948628457160033e-07,Unknown
0.008307690000000534,2.12084027648604e-05,2.208247449323e-05,2.7578992320613662e-05,1.7473895739221156e-05,0.0001268173426071,9.87861698888463e-07,Unknown
0.008826920000000626,2.122518685756847e-05,2.2289751306083813e-05,2.8114261023484788e-05,1.7662289812655666e-05,0.0001255982749239,9.822280089453392e-07,Unknown
0.00934615000000072,2.1234390842329648e-05,2.241026295427948e-05,2.954114240045742e-05,1.783257615195678e-05,0.0001244230319999,9.780708317325871e-07,Unknown
0.009865380000000812,2.123640636679123e-05,2.2462405571940347e-05,3.201938278405752e-05,1.798436291871198e-05,0.0001237607623409,9.75229081488534e-07,Unknown
0.010384620000001732,2.12342439143806e-05,2.24682199601374e-05,3.5181610260413635e-05,1.811493987145388e-05,0.0001234242928076,9.734400317536009e-07,Unknown
0.010903850000001825,2.1231736296685006e-05,2.2450286893811564e-05,3.837075976221775e-05,1.8223482092743653e-05,0.000123107337899,9.724116447659686e-07,Unknown
0.011423080000000141,2.123132114576354e-05,2.2430534189239217e-05,4.086624356617079e-05,1.8312081042940608e-05,0.0001227320232037,9.718848332212218e-07,Unknown
0.011942310000000234,2.123091628536857e-05,2.2431094731891096e-05,4.215453693177204e-05,1.8375670146394167e-05,0.0001225127689364,9.716941653723365e-07,Unknown
0.012461540000000326,2.122817912581412e-05,2.2474113179865567e-05,4.237034665360436e-05,1.8408530984256263e-05,0.0001225069761243,9.717589953874595e-07,Unknown
0.012980770000000419,2.1225646794397708e-05,2.256792299637676e-05,4.24846026331293e-05,1.8415711375412857e-05,0.0001223688411153,9.71921285611367e-07,Unknown
0.013500000000000512,2.1240595774375272e-05,2.267902195197588e-05,4.374145374464678e-05,1.840804408994937e-05,0.0001219295757518,9.719780968625946e-07,Unknown
0.014019230000000604,2.1316778349874005e-05,2.2733802131488283e-05,4.667761792906438e-05,1.8393794210026665e-05,0.0001213506693258,9.719797256838322e-07,Unknown
