Time,Rectus Femoris,Vastus Medialis,Vastus Lateralis,Bicep Femoris,Tibialis,Gastrocnemius Medialis,Activity
0.00025961500000004634,1.5981170110817144e-05,4.398729003318361e-06,4.322286107986958e-06,5.97579334122956e-05,5.558616671062864e-05,4.563145576015314e-06,Unknown
0.0007788460000002217,1.6036808486601825e-05,4.412453679573077e-06,4.331948357871558e-06,5.839476259581988e-05,5.573909808883565e-05,4.472196548364677e-06,Unknown
0.001298076999999509,1.6111786430910494e-05,4.422691852502319e-06,4.344769136094944e-06,5.665480120306566e-05,5.59664292217052e-05,4.392920856584644e-06,Unknown
0.0018173079999996844,1.6080157893432343e-05,4.427458825491285e-06,4.353757662351421e-06,5.47170279897163e-05,5.616550403743205e-05,4.3274285910127854e-06,Unknown
0.002336537999999777,1.5878503423554318e-05,4.428120569122333e-06,4.35814660847913e-06,5.26018260367211e-05,5.6178220252736754e-05,4.276423012172725e-06,Unknown
0.0028557689999999525,1.5559660234324967e-05,4.427103566839715e-06,4.360168118710292e-06,5.028374995341186e-05,5.606663122275358e-05,4.25728313649854e-06,Unknown
0.003375000000000128,1.5325780797374824e-05,4.428106474595757e-06,4.359890860093148e-06,4.781801581969757e-05,5.5987725971746136e-05,4.255764174321694e-06,Unknown
0.0038942310000003033,1.5333247922980113e-05,4.432743973370461e-06,4.353294317610218e-06,4.534070788005723e-05,5.5949234982591134e-05,4.265549129362113e-06,Unknown
0.0044134619999995905,1.538208737396891e-05,4.433569277295484e-06,4.338425566134852e-06,4.2974646299026665e-05,5.5927162111572174e-05,4.315078148419952e-06,Unknown
0.004932691999999683,1.534844834172629e-05,4.42891758614135e-06,4.323292837395529e-06,4.077290809357101e-05,5.5807989724026384e-05,4.380488845227824e-06,Unknown
0.005451922999999859,1.5361013432900402e-05,4.42951043450125e-06,4.317516397387691e-06,3.874954254026116e-05,5.552198540555992e-05,4.410205151113066e-06,Unknown
0.005971154000000034,1.5373797319761047e-05,4.434688383115957e-06,4.3207428447275615e-06,3.693205618834032e-05,5.530686343490994e-05,4.411708003057231e-06,Unknown
0.0064903850000002095,1.5367168520580585e-05,4.437209908911872e-06,4.323897416552624e-06,3.537157365210829e-05,5.5279388241811655e-05,4.412476731353088e-06,Unknown
0.007009615000000302,1.5352845653642423e-05,4.426530736083042e-06,4.3236913708042405e-06,3.411122432198571e-05,5.528979501409521e-05,4.411055809783986e-06,Unknown
0.007528845999999589,1.5224434666797994e-05,4.39556846976684e-06,4.3219409694232166e-06,3.315021097587849e-05,5.528216189243793e-05,4.409145036728297e-06,Unknown
0.008048076999999765,1.514311857664846e-05,4.367803780648602e-06,4.31260238404088e-06,3.244103291950744e-05,5.5247672646507865e-05,4.4141133776788405e-06,Unknown
0.00856730799999994,1.5235165719978188e-05,4.360737613242853e-06,4.295853722931799e-06,3.192331326527559e-05,5.525862170801415e-05,4.414212929738229e-06,Unknown
0.009086538000000033,1.5326722203464487e-05,4.361101826230706e-06,4.282478495351225e-06,3.155110689926285e-05,5.549564302341312e-05,4.414051529838938e-06,Unknown
0.009605769000000208,1.536673778668724e-05,4.35953897661601e-06,4.276140414160301e-06,3.128951718802684e-05,5.592035776502084e-05,4.414017022581924e-06,Unknown
0.010124999999999496,1.5324556028833285e-05,4.349961488746581e-06,4.272827764047881e-06,3.110537243743537e-05,5.63261846222543e-05,4.4152532556588725e-06,Unknown
0.010644230999999671,1.51735379649788e-05,4.331004070330708e-06,4.269964630072464e-06,3.097104614161419e-05,5.662241992871861e-05,4.444973145669115e-06,Unknown
0.011163461999999846,1.507127109975987e-05,4.316328216604974e-06,4.266897066852243e-06,3.0872120434484256e-05,5.681699517870548e-05,4.47604681791386e-06,Unknown
0.011682691999999939,1.5076752781412185e-05,4.313363510019584e-06,4.263829029564514e-06,3.0806498660711854e-05,5.693860767757421e-05,4.479584474708169e-06,Unknown
0.012201923000000114,1.5150477567882784e-05,4.313536100180053e-06,4.26311275686204e-06,3.077539894068953e-05,5.6991583108126255e-05,4.478641271998193e-06,Unknown
0.01272115400000029,1.5339887899199538e-05,4.302429179566682e-06,4.26512799745939e-06,3.0774584071548505e-05,5.695436972099141e-05,4.478254430981176e-06,Unknown
0.013240384999999577,1.5570026352045083e-05,4.278856645480838e-06,4.259474350475701e-06,3.0791034271282214e-05,5.68378571344688e-05,4.474786920930036e-06,Unknown
0.01375961499999967,1.5654210746481667e-05,4.260782935460769e-06,4.2371264836740825e-06,3.0804423303318665e-05,5.662787796575952e-05,4.472427250043548e-06,Unknown
0.014278845999999845,1.5645435461192763e-05,4.26133270620185e-06,4.21245132618983e-06,3.0792741430052e-05,5.628949936846237e-05,4.469422463724129e-06,Unknown
0.01479807700000002,1.565242512334665e-05,4.27772204534308e-06,4.200835551310895e-06,3.074100015130281e-05,5.5934737414177054e-05,4.460645353605224e-06,Unknown
0.015317308000000196,1.5610186942895566e-05,4.300193539551409e-06,4.196531975420416e-06,3.064539723720818e-05,5.574477327552157e-05,4.444525992469636e-06,Unknown
0.01583653800000029,1.5529949357737158e-05,4.321310333022214e-06,4.194213292701831e-06,3.050531993092195e-05,5.571084256625322e-05,4.427027137654329e-06,Unknown
0.016355768999999576,1.5414661916017672e-05,4.338566753778984e-06,4.1961738026966204e-06,3.031123206843307e-05,5.5709139220204e-05,4.410647805330693e-06,Unknown
0.01687499999999975,1.5273666730515403e-05,4.348958593624308e-06,4.199471163333226e-06,3.0048386058025125e-05,5.568630551989681e-05,4.402139658913676e-06,Unknown
0.017394230999999927,1.5256865436552055e-05,4.348958048363385e-06,4.2002492634824764e-06,2.971865581671763e-05,5.5669614937961634e-05,4.403012095341574e-06,Unknown
0.017913462000000102,1.5313638964149824e-05,4.342799333588391e-06,4.1997100464137485e-06,2.9349928027525977e-05,5.576443381996392e-05,4.404230884332479e-06,Unknown
0.018432692000000195,1.5313249477129517e-05,4.337131828377566e-06,4.203155089467068e-06,2.8973734503185943e-05,5.59364052147432e-05,4.397793843313108e-06,Unknown
0.018951922999999482,1.5311220379494895e-05,4.337807399287809e-06,4.219602096958704e-06,2.859788491272956e-05,5.6050305753378745e-05,4.388339072166021e-06,Unknown
0.019471153999999657,1.5302897185216772e-05,4.351295448580093e-06,4.234710990730335e-06,2.820442373373996e-05,5.6122720510889865e-05,4.3878771012019e-06,Unknown
0.019990384999999833,1.5329171734123763e-05,4.362959837480759e-06,4.232459905917858e-06,2.777408027410478e-05,5.619999610503561e-05,4.380831346171192e-06,Unknown
0.020509614999999926,1.5450662840808482e-05,4.357666896406642e-06,4.22974464055918e-06,2.731304331541744e-05,5.634809284391401e-05,4.365212736253362e-06,Unknown
0.0210288460000001,1.5451548349512107e-05,4.3469434563754574e-06,4.229241814230871e-06,2.684913385347803e-05,5.652310237052621e-05,4.3641122531395255e-06,Unknown
0.021548077000000276,1.52909892737968e-05,4.3393035799394405e-06,4.2216087206460005e-06,2.6402597265531407e-05,5.644383039228036e-05,4.360859745737684e-06,Unknown
0.022067307999999564,1.519890805685006e-05,4.331882081955803e-06,4.207293115209813e-06,2.597123743087192e-05,5.6104657584556127e-05,4.346509083890816e-06,Unknown
0.022586537999999656,1.5188600032231742e-05,4.318328966398851e-06,4.188870546457018e-06,2.554580605470768e-05,5.58386461827004e-05,4.354374479195e-06,Unknown
0.02310576899999983,1.5186929051924386e-05,4.296596938153083e-06,4.176221593145476e-06,2.513312505934082e-05,5.573799132426029e-05,4.3895480083782965e-06,Unknown
0.023625000000000007,1.516402562933468e-05,4.280443688431256e-06,4.166738504635881e-06,2.4755268579266343e-05,5.566400144325077e-05,4.42229193194043e-06,Unknown
0.024144231000000183,1.509022058948844e-05,4.275162272304976e-06,4.158990434095466e-06,2.4426027131631048e-05,5.549157560848555e-05,4.435990368578189e-06,Unknown
0.02466346199999947,1.504138177333955e-05,4.27392681824243e-06,4.1572466084662335e-06,2.413814450846235e-05,5.514728930749094e-05,4.435976708201948e-06,Unknown
0.025182691999999562,1.5040767353483842e-05,4.279029388433078e-06,4.159372621475996e-06,2.387360888861065e-05,5.478561797659041e-05,4.430427721518172e-06,Unknown
0.025701922999999738,1.5024798782982132e-05,4.291943886241781e-06,4.172192443836094e-06,2.3620227565999628e-05,5.461161865299944e-05,4.417835854037309e-06,Unknown
0.026221153999999913,1.5011655295527751e-05,4.30708907719229e-06,4.188613846267732e-06,2.3379059918639245e-05,5.45858948444887e-05,4.395641072221943e-06,Unknown
0.02674038500000009,1.5012029476253943e-05,4.319537850307565e-06,4.193760487905783e-06,2.3157413239308903e-05,5.466018747127582e-05,4.377761342734835e-06,Unknown
0.02725961500000018,1.4998494386949894e-05,4.3258146693460535e-06,4.193383662762082e-06,2.295637326483231e-05,5.483457901003964e-05,4.3796597033026345e-06,Unknown
0.02777884599999947,1.4983625642932834e-05,4.330239238609527e-06,4.1942308719827135e-06,2.2768977263283744e-05,5.498135046999272e-05,4.384149468591412e-06,Unknown
0.028298076999999644,1.4968245510478382e-05,4.351535303779335e-06,4.1908148252997765e-06,2.259016015624673e-05,5.503611207517442e-05,4.384728377067821e-06,Unknown
0.02881730799999982,1.497301390382981e-05,4.392194937480442e-06,4.177343773912375e-06,2.2423521053469253e-05,5.506749003438473e-05,4.396801289728527e-06,Unknown
0.029336537999999912,1.5025533558632236e-05,4.43126464000136e-06,4.165347777654615e-06,2.2275295653082595e-05,5.51881375859448e-05,4.400024685609761e-06,Unknown
0.029855769000000087,1.5045160676693404e-05,4.463538991099785e-06,4.165321273246376e-06,2.214691256914448e-05,5.555624750918391e-05,4.402904214468025e-06,Unknown
0.030375000000000263,1.500450181481689e-05,4.503493961134654e-06,4.178304120861783e-06,2.203979189080577e-05,5.610095008834392e-05,4.435251587427034e-06,Unknown
0.03089423099999955,1.5006833850761444e-05,4.568838864020326e-06,4.20496376680481e-06,2.195970764699196e-05,5.6499831511808426e-05,4.465524566470614e-06,Unknown
0.031413461999999726,1.503284132180865e-05,4.658207034134178e-06,4.224409736677216e-06,2.190890536151346e-05,5.666466156878224e-05,4.474618712101284e-06,Unknown
0.03193269199999982,1.503104943959166e-05,4.7419918450011465e-06,4.21917971008005e-06,2.1881924105965848e-05,5.673938288441657e-05,4.476700820508825e-06,Unknown
0.032451922999999994,1.5011899181014646e-05,4.795448338676867e-06,4.2077008664582e-06,2.187130149136139e-05,5.683813707589083e-05,4.479509920735264e-06,Unknown
0.03297115400000017,1.490634388255538e-05,4.818578851255913e-06,4.205740060600008e-06,2.187082981144492e-05,5.698835867567724e-05,4.499227972292944e-06,Unknown
0.033490384999999456,1.4785930487431742e-05,4.823240473038895e-06,4.206149429992795e-06,2.1874048627361863e-05,5.698904045029306e-05,4.543252257310849e-06,Unknown
0.03400961499999955,1.4775408481815222e-05,4.820081415908603e-06,4.20158899110069e-06,2.18754746635023e-05,5.6689026667696994e-05,4.587739414620558e-06,Unknown
0.034528845999999724,1.478708228478547e-05,4.81706584464501e-06,4.196568285192681e-06,2.1875404977235337e-05,5.630961611001159e-05,4.598040589329131e-06,Unknown
0.0350480769999999,1.4787748481819835e-05,4.82533477815338e-06,4.208175290812358e-06,2.187873028045584e-05,5.606423878125415e-05,4.590399775602384e-06,Unknown
0.035567308000000075,1.4765969311684353e-05,4.854216814964108e-06,4.23907985704434e-06,2.188785939116005e-05,5.592276854958875e-05,4.629315865481359e-06,Unknown
0.03608653800000017,1.4638656983739654e-05,4.890646242818568e-06,4.26733100905428e-06,2.1900594964039065e-05,5.57946405999477e-05,4.7072097381049135e-06,Unknown
0.036605768999999455,1.4511932290289872e-05,4.913681547114057e-06,4.274365787379166e-06,2.1913697286734573e-05,5.563073385138211e-05,4.757486038694629e-06,Unknown
0.03712499999999963,1.449484005545742e-05,4.929417831001325e-06,4.26700115425639e-06,2.19227681727575e-05,5.553136504281073e-05,4.773791574064799e-06,Unknown
0.037644230999999806,1.450610092600328e-05,4.946622934044276e-06,4.266985217891147e-06,2.191975904496516e-05,5.561927955949351e-05,4.774930146586249e-06,Unknown
0.03816346199999998,1.45075559049687e-05,4.960635120585186e-06,4.275031183350299e-06,2.1897929179868566e-05,5.5807107505860174e-05,4.763893589296389e-06,Unknown
0.038682692000000074,1.450067298100647e-05,4.976569897413272e-06,4.277623121287525e-06,2.1859590674640806e-05,5.600939219621895e-05,4.770428815063634e-06,Unknown
