Time,Rectus Femoris,Vastus Medialis,Vastus Lateralis,Bicep Femoris,Tibialis,Gastrocnemius Medialis,Trimmed Time
5.396884615,8.116653587284356e-06,8.609133774008254e-06,7.3837861521267e-06,1.416899075711419e-05,2.0407250480085427e-05,1.0154684548919138e-05,0.00025961500000004634
5.397403846,8.09275879172452e-06,8.625684190229913e-06,7.382657165960174e-06,1.4161235516743285e-05,2.0372826576880144e-05,1.011695707376257e-05,0.0007788459999993336
5.397923077,8.072342671446496e-06,8.639880943488326e-06,7.379338951858792e-06,1.4154614729633034e-05,2.0320028542322503e-05,1.0076525268906348e-05,0.001298076999999509
5.398442308,8.067473512309406e-06,8.649326709701276e-06,7.373232841933699e-06,1.415289284669084e-05,2.027160413894664e-05,1.003895483482506e-05,0.0018173079999996844
5.398961538,8.068756629691172e-06,8.654654372072591e-06,7.360138872347568e-06,1.4152674398977412e-05,2.028464344622136e-05,1.0010023541970998e-05,0.002336537999999777
5.399480769,8.076438506415764e-06,8.655158084029246e-06,7.335094868657876e-06,1.4148633087501474e-05,2.0371077785220544e-05,9.98863123217998e-06,0.0028557689999999525
5.4,8.085041560687808e-06,8.64748579726072e-06,7.298303383287851e-06,1.4140490335174838e-05,2.045847458745941e-05,9.96719648942894e-06,0.003375000000000128
5.400519231,8.082483007206967e-06,8.628142083916304e-06,7.25543387818072e-06,1.4129630297745206e-05,2.049116600516837e-05,9.939202055715849e-06,0.003894230999999415
5.401038462,8.073811962693635e-06,8.59911614276831e-06,7.210103150431627e-06,1.4115039708204382e-05,2.048828688395618e-05,9.90067763671127e-06,0.0044134619999995905
5.401557692,8.06908103928233e-06,8.567270149808649e-06,7.161519215853099e-06,1.409264638265382e-05,2.0478348268715115e-05,9.848459399889825e-06,0.004932691999999683
5.402076923,8.071782664560512e-06,8.537060766576493e-06,7.110333611500272e-06,1.4055981241227243e-05,2.0469281155495204e-05,9.783014597310104e-06,0.005451922999999859
5.402596154,8.081085798787686e-06,8.50739984320526e-06,7.0670687490020105e-06,1.3999599275239183e-05,2.046998525408364e-05,9.712569083345583e-06,0.005971154000000034
5.403115385,8.09082290038838e-06,8.483155986686133e-06,7.047874496123243e-06,1.3918696203051772e-05,2.048461876665841e-05,9.649571520673284e-06,0.0064903850000002095
5.403634615,8.097699984884066e-06,8.479377746633135e-06,7.053527312554367e-06,1.380508344718651e-05,2.050122418363116e-05,9.60206817382766e-06,0.007009614999999414
5.404153846,8.098594767531462e-06,8.495885489371407e-06,7.066046479300363e-06,1.3651779463104728e-05,2.050368842688863e-05,9.571158186346892e-06,0.007528845999999589
5.404673077,8.089013799101567e-06,8.51519426312099e-06,7.071186828110305e-06,1.3468431050743233e-05,2.048900840228748e-05,9.55404559344426e-06,0.008048076999999765
5.405192308,8.078088794167202e-06,8.528948458634558e-06,7.068652800115741e-06,1.328689852443992e-05,2.0468058307081946e-05,9.545505756702856e-06,0.00856730799999994
5.405711538,8.079349236459603e-06,8.539504456806853e-06,7.0627431867083625e-06,1.313745106231042e-05,2.0451633078950304e-05,9.5403084603737e-06,0.009086538000000033
5.406230769,8.093441389513849e-06,8.547829331447445e-06,7.05585060026404e-06,1.3021774661953551e-05,2.0442775065840977e-05,9.539409743744686e-06,0.009605769000000208
